# variable = spikes
# first_index = 0
# last_index = 300
# first_id = 3300
# last_id = 3599
# n = 1500
# size = 300
# dt = 1.0
33.0	0.0
48.0	0.0
49.0	0.0
50.0	0.0
58.0	0.0
45.0	1.0
48.0	1.0
54.0	1.0
55.0	1.0
56.0	1.0
42.0	2.0
51.0	2.0
52.0	2.0
53.0	2.0
53.0	2.0
37.0	3.0
40.0	3.0
49.0	3.0
52.0	3.0
54.0	3.0
45.0	4.0
48.0	4.0
49.0	4.0
50.0	4.0
59.0	4.0
49.0	5.0
50.0	5.0
51.0	5.0
57.0	5.0
58.0	5.0
45.0	6.0
45.0	6.0
46.0	6.0
46.0	6.0
52.0	6.0
42.0	7.0
45.0	7.0
47.0	7.0
52.0	7.0
56.0	7.0
44.0	8.0
49.0	8.0
56.0	8.0
57.0	8.0
57.0	8.0
48.0	9.0
51.0	9.0
52.0	9.0
54.0	9.0
54.0	9.0
44.0	10.0
45.0	10.0
50.0	10.0
53.0	10.0
55.0	10.0
48.0	11.0
51.0	11.0
54.0	11.0
57.0	11.0
59.0	11.0
42.0	12.0
51.0	12.0
51.0	12.0
52.0	12.0
54.0	12.0
48.0	13.0
53.0	13.0
53.0	13.0
53.0	13.0
54.0	13.0
40.0	14.0
49.0	14.0
51.0	14.0
54.0	14.0
64.0	14.0
38.0	15.0
46.0	15.0
48.0	15.0
52.0	15.0
57.0	15.0
40.0	16.0
45.0	16.0
47.0	16.0
53.0	16.0
54.0	16.0
44.0	17.0
48.0	17.0
50.0	17.0
51.0	17.0
52.0	17.0
44.0	18.0
44.0	18.0
45.0	18.0
48.0	18.0
58.0	18.0
44.0	19.0
45.0	19.0
46.0	19.0
57.0	19.0
57.0	19.0
49.0	20.0
51.0	20.0
52.0	20.0
52.0	20.0
52.0	20.0
45.0	21.0
47.0	21.0
54.0	21.0
56.0	21.0
56.0	21.0
47.0	22.0
49.0	22.0
50.0	22.0
54.0	22.0
59.0	22.0
47.0	23.0
48.0	23.0
49.0	23.0
53.0	23.0
53.0	23.0
45.0	24.0
50.0	24.0
51.0	24.0
55.0	24.0
56.0	24.0
39.0	25.0
45.0	25.0
47.0	25.0
48.0	25.0
55.0	25.0
42.0	26.0
